,booking_id,tournament_id,match_id,match_name,match_date,stage_name,team_id,team_name,team_confederation,player_id,yellow_card,red_card,referee_id,ref_confederation,year
51,B-0052,WC-1970,M-1970-32,Brazil vs Italy,1970-06-21,final,T-09,Brazil,CONMEBOL,P-85778,1,0,R-171,UEFA,1970
52,B-0053,WC-1974,M-1974-01,Brazil vs Yugoslavia,1974-06-13,group stage,T-87,Yugoslavia,UEFA,P-26214,1,0,R-394,UEFA,1974
53,B-0054,WC-1974,M-1974-01,Brazil vs Yugoslavia,1974-06-13,group stage,T-87,Yugoslavia,UEFA,P-67954,1,0,R-394,UEFA,1974
54,B-0055,WC-1974,M-1974-02,West Germany vs Chile,1974-06-14,group stage,T-13,Chile,CONMEBOL,P-57208,0,1,R-032,UEFA,1974
55,B-0056,WC-1974,M-1974-02,West Germany vs Chile,1974-06-14,group stage,T-13,Chile,CONMEBOL,P-34664,1,0,R-032,UEFA,1974
56,B-0057,WC-1974,M-1974-02,West Germany vs Chile,1974-06-14,group stage,T-13,Chile,CONMEBOL,P-51910,1,0,R-032,UEFA,1974
57,B-0058,WC-1974,M-1974-03,East Germany vs Australia,1974-06-14,group stage,T-24,East Germany,UEFA,P-57266,1,0,R-309,CAF,1974
58,B-0059,WC-1974,M-1974-03,East Germany vs Australia,1974-06-14,group stage,T-24,East Germany,UEFA,P-53970,1,0,R-309,CAF,1974
59,B-0060,WC-1974,M-1974-03,East Germany vs Australia,1974-06-14,group stage,T-24,East Germany,UEFA,P-12102,1,0,R-309,CAF,1974
60,B-0061,WC-1974,M-1974-04,Zaire vs Scotland,1974-06-14,group stage,T-88,Zaire,CAF,P-49087,1,0,R-397,UEFA,1974
61,B-0062,WC-1974,M-1974-04,Zaire vs Scotland,1974-06-14,group stage,T-64,Scotland,UEFA,P-87058,1,0,R-397,UEFA,1974
62,B-0063,WC-1974,M-1974-06,Uruguay vs Netherlands,1974-06-15,group stage,T-84,Uruguay,CONMEBOL,P-11707,1,0,R-334,UEFA,1974
63,B-0064,WC-1974,M-1974-06,Uruguay vs Netherlands,1974-06-15,group stage,T-84,Uruguay,CONMEBOL,P-34358,1,0,R-334,UEFA,1974
64,B-0065,WC-1974,M-1974-06,Uruguay vs Netherlands,1974-06-15,group stage,T-84,Uruguay,CONMEBOL,P-32274,1,0,R-334,UEFA,1974
65,B-0066,WC-1974,M-1974-06,Uruguay vs Netherlands,1974-06-15,group stage,T-84,Uruguay,CONMEBOL,P-83931,0,1,R-334,UEFA,1974
66,B-0067,WC-1974,M-1974-07,Italy vs Haiti,1974-06-15,group stage,T-34,Haiti,CONCACAF,P-28084,1,0,R-249,CONMEBOL,1974
67,B-0068,WC-1974,M-1974-08,Poland vs Argentina,1974-06-15,group stage,T-03,Argentina,CONMEBOL,P-94783,1,0,R-434,UEFA,1974
68,B-0069,WC-1974,M-1974-08,Poland vs Argentina,1974-06-15,group stage,T-03,Argentina,CONMEBOL,P-33365,1,0,R-434,UEFA,1974
69,B-0070,WC-1974,M-1974-10,Chile vs East Germany,1974-06-18,group stage,T-13,Chile,CONMEBOL,P-54736,1,0,R-023,UEFA,1974
70,B-0071,WC-1974,M-1974-10,Chile vs East Germany,1974-06-18,group stage,T-13,Chile,CONMEBOL,P-27772,1,0,R-023,UEFA,1974
71,B-0072,WC-1974,M-1974-10,Chile vs East Germany,1974-06-18,group stage,T-24,East Germany,UEFA,P-12102,1,0,R-023,UEFA,1974
72,B-0073,WC-1974,M-1974-11,Scotland vs Brazil,1974-06-18,group stage,T-09,Brazil,CONMEBOL,P-85778,1,0,R-452,UEFA,1974
73,B-0074,WC-1974,M-1974-11,Scotland vs Brazil,1974-06-18,group stage,T-09,Brazil,CONMEBOL,P-81415,1,0,R-452,UEFA,1974
74,B-0075,WC-1974,M-1974-11,Scotland vs Brazil,1974-06-18,group stage,T-09,Brazil,CONMEBOL,P-89772,1,0,R-452,UEFA,1974
75,B-0076,WC-1974,M-1974-12,Yugoslavia vs Zaire,1974-06-18,group stage,T-88,Zaire,CAF,P-88955,0,1,R-119,CONMEBOL,1974
76,B-0077,WC-1974,M-1974-12,Yugoslavia vs Zaire,1974-06-18,group stage,T-87,Yugoslavia,UEFA,P-00262,1,0,R-119,CONMEBOL,1974
77,B-0078,WC-1974,M-1974-13,Bulgaria vs Uruguay,1974-06-19,group stage,T-10,Bulgaria,UEFA,P-76230,1,0,R-429,UEFA,1974
78,B-0079,WC-1974,M-1974-13,Bulgaria vs Uruguay,1974-06-19,group stage,T-84,Uruguay,CONMEBOL,P-99710,1,0,R-429,UEFA,1974
79,B-0080,WC-1974,M-1974-14,Netherlands vs Sweden,1974-06-19,group stage,T-74,Sweden,UEFA,P-29454,1,0,R-478,CONCACAF,1974
80,B-0081,WC-1974,M-1974-14,Netherlands vs Sweden,1974-06-19,group stage,T-74,Sweden,UEFA,P-61494,1,0,R-478,CONCACAF,1974
81,B-0082,WC-1974,M-1974-14,Netherlands vs Sweden,1974-06-19,group stage,T-48,Netherlands,UEFA,P-89554,1,0,R-478,CONCACAF,1974
82,B-0083,WC-1974,M-1974-14,Netherlands vs Sweden,1974-06-19,group stage,T-74,Sweden,UEFA,P-90911,1,0,R-478,CONCACAF,1974
83,B-0084,WC-1974,M-1974-14,Netherlands vs Sweden,1974-06-19,group stage,T-74,Sweden,UEFA,P-37575,1,0,R-478,CONCACAF,1974
84,B-0085,WC-1974,M-1974-15,Argentina vs Italy,1974-06-19,group stage,T-41,Italy,UEFA,P-12030,1,0,R-218,UEFA,1974
85,B-0086,WC-1974,M-1974-15,Argentina vs Italy,1974-06-19,group stage,T-03,Argentina,CONMEBOL,P-33365,1,0,R-218,UEFA,1974
86,B-0087,WC-1974,M-1974-16,Haiti vs Poland,1974-06-19,group stage,T-34,Haiti,CONCACAF,P-28084,1,0,R-424,AFC,1974
87,B-0088,WC-1974,M-1974-17,Australia vs Chile,1974-06-22,group stage,T-04,Australia,AFC,P-06541,0,1,R-311,AFC,1974
88,B-0089,WC-1974,M-1974-18,Scotland vs Yugoslavia,1974-06-22,group stage,T-87,Yugoslavia,UEFA,P-26214,1,0,R-177,CONCACAF,1974
89,B-0090,WC-1974,M-1974-18,Scotland vs Yugoslavia,1974-06-22,group stage,T-87,Yugoslavia,UEFA,P-20553,1,0,R-177,CONCACAF,1974
90,B-0091,WC-1974,M-1974-18,Scotland vs Yugoslavia,1974-06-22,group stage,T-64,Scotland,UEFA,P-22480,1,0,R-177,CONCACAF,1974
91,B-0092,WC-1974,M-1974-18,Scotland vs Yugoslavia,1974-06-22,group stage,T-64,Scotland,UEFA,P-47050,1,0,R-177,CONCACAF,1974
92,B-0093,WC-1974,M-1974-18,Scotland vs Yugoslavia,1974-06-22,group stage,T-87,Yugoslavia,UEFA,P-74389,1,0,R-177,CONCACAF,1974
93,B-0094,WC-1974,M-1974-19,Zaire vs Brazil,1974-06-22,group stage,T-09,Brazil,CONMEBOL,P-01779,1,0,R-360,UEFA,1974
94,B-0095,WC-1974,M-1974-19,Zaire vs Brazil,1974-06-22,group stage,T-88,Zaire,CAF,P-99200,1,0,R-360,UEFA,1974
95,B-0096,WC-1974,M-1974-20,East Germany vs West Germany,1974-06-22,group stage,T-24,East Germany,UEFA,P-27040,1,0,R-043,CONMEBOL,1974
96,B-0097,WC-1974,M-1974-20,East Germany vs West Germany,1974-06-22,group stage,T-24,East Germany,UEFA,P-79032,1,0,R-043,CONMEBOL,1974
97,B-0098,WC-1974,M-1974-20,East Germany vs West Germany,1974-06-22,group stage,T-24,East Germany,UEFA,P-87788,1,0,R-043,CONMEBOL,1974
98,B-0099,WC-1974,M-1974-21,Bulgaria vs Netherlands,1974-06-23,group stage,T-48,Netherlands,UEFA,P-89311,1,0,R-061,AFC,1974
99,B-0100,WC-1974,M-1974-21,Bulgaria vs Netherlands,1974-06-23,group stage,T-48,Netherlands,UEFA,P-65100,1,0,R-061,AFC,1974
100,B-0101,WC-1974,M-1974-21,Bulgaria vs Netherlands,1974-06-23,group stage,T-48,Netherlands,UEFA,P-50564,1,0,R-061,AFC,1974
101,B-0102,WC-1974,M-1974-21,Bulgaria vs Netherlands,1974-06-23,group stage,T-10,Bulgaria,UEFA,P-75999,1,0,R-061,AFC,1974
102,B-0103,WC-1974,M-1974-21,Bulgaria vs Netherlands,1974-06-23,group stage,T-10,Bulgaria,UEFA,P-04554,1,0,R-061,AFC,1974
103,B-0104,WC-1974,M-1974-22,Sweden vs Uruguay,1974-06-23,group stage,T-84,Uruguay,CONMEBOL,P-50198,1,0,R-247,UEFA,1974
104,B-0105,WC-1974,M-1974-23,Argentina vs Haiti,1974-06-23,group stage,T-03,Argentina,CONMEBOL,P-33365,1,0,R-389,UEFA,1974
105,B-0106,WC-1974,M-1974-23,Argentina vs Haiti,1974-06-23,group stage,T-03,Argentina,CONMEBOL,P-82218,1,0,R-389,UEFA,1974
106,B-0107,WC-1974,M-1974-23,Argentina vs Haiti,1974-06-23,group stage,T-34,Haiti,CONCACAF,P-16092,1,0,R-389,UEFA,1974
107,B-0108,WC-1974,M-1974-24,Poland vs Italy,1974-06-23,group stage,T-57,Poland,UEFA,P-97548,1,0,R-475,UEFA,1974
108,B-0109,WC-1974,M-1974-24,Poland vs Italy,1974-06-23,group stage,T-41,Italy,UEFA,P-92154,1,0,R-475,UEFA,1974
109,B-0110,WC-1974,M-1974-24,Poland vs Italy,1974-06-23,group stage,T-57,Poland,UEFA,P-39234,1,0,R-475,UEFA,1974
110,B-0111,WC-1974,M-1974-25,Yugoslavia vs West Germany,1974-06-26,second group stage,T-86,West Germany,UEFA,P-60896,1,0,R-271,CONMEBOL,1974
111,B-0112,WC-1974,M-1974-25,Yugoslavia vs West Germany,1974-06-26,second group stage,T-86,West Germany,UEFA,P-69695,1,0,R-271,CONMEBOL,1974
112,B-0113,WC-1974,M-1974-25,Yugoslavia vs West Germany,1974-06-26,second group stage,T-87,Yugoslavia,UEFA,P-47694,1,0,R-271,CONMEBOL,1974
113,B-0114,WC-1974,M-1974-25,Yugoslavia vs West Germany,1974-06-26,second group stage,T-87,Yugoslavia,UEFA,P-00262,1,0,R-271,CONMEBOL,1974
114,B-0115,WC-1974,M-1974-26,Brazil vs East Germany,1974-06-26,second group stage,T-24,East Germany,UEFA,P-73193,1,0,R-434,UEFA,1974
115,B-0116,WC-1974,M-1974-26,Brazil vs East Germany,1974-06-26,second group stage,T-09,Brazil,CONMEBOL,P-77430,1,0,R-434,UEFA,1974
116,B-0117,WC-1974,M-1974-26,Brazil vs East Germany,1974-06-26,second group stage,T-09,Brazil,CONMEBOL,P-07188,1,0,R-434,UEFA,1974
117,B-0118,WC-1974,M-1974-26,Brazil vs East Germany,1974-06-26,second group stage,T-09,Brazil,CONMEBOL,P-89519,1,0,R-434,UEFA,1974
118,B-0119,WC-1974,M-1974-26,Brazil vs East Germany,1974-06-26,second group stage,T-24,East Germany,UEFA,P-91963,1,0,R-434,UEFA,1974
119,B-0120,WC-1974,M-1974-27,Netherlands vs Argentina,1974-06-26,second group stage,T-48,Netherlands,UEFA,P-16991,1,0,R-115,UEFA,1974
120,B-0121,WC-1974,M-1974-27,Netherlands vs Argentina,1974-06-26,second group stage,T-03,Argentina,CONMEBOL,P-94783,1,0,R-115,UEFA,1974
121,B-0122,WC-1974,M-1974-27,Netherlands vs Argentina,1974-06-26,second group stage,T-48,Netherlands,UEFA,P-45370,1,0,R-115,UEFA,1974
122,B-0123,WC-1974,M-1974-28,Sweden vs Poland,1974-06-26,second group stage,T-57,Poland,UEFA,P-92867,1,0,R-043,CONMEBOL,1974
123,B-0124,WC-1974,M-1974-28,Sweden vs Poland,1974-06-26,second group stage,T-57,Poland,UEFA,P-95634,1,0,R-043,CONMEBOL,1974
124,B-0125,WC-1974,M-1974-29,Argentina vs Brazil,1974-06-30,second group stage,T-03,Argentina,CONMEBOL,P-04739,1,0,R-254,UEFA,1974
125,B-0126,WC-1974,M-1974-32,West Germany vs Sweden,1974-06-30,second group stage,T-74,Sweden,UEFA,P-37575,1,0,R-218,UEFA,1974
126,B-0127,WC-1974,M-1974-34,Argentina vs East Germany,1974-07-03,second group stage,T-24,East Germany,UEFA,P-27040,1,0,R-429,UEFA,1974
127,B-0128,WC-1974,M-1974-34,Argentina vs East Germany,1974-07-03,second group stage,T-03,Argentina,CONMEBOL,P-56518,1,0,R-429,UEFA,1974
128,B-0129,WC-1974,M-1974-35,Netherlands vs Brazil,1974-07-03,second group stage,T-48,Netherlands,UEFA,P-45370,1,0,R-440,UEFA,1974
129,B-0130,WC-1974,M-1974-35,Netherlands vs Brazil,1974-07-03,second group stage,T-09,Brazil,CONMEBOL,P-87744,0,1,R-440,UEFA,1974
130,B-0131,WC-1974,M-1974-35,Netherlands vs Brazil,1974-07-03,second group stage,T-09,Brazil,CONMEBOL,P-72683,1,0,R-440,UEFA,1974
131,B-0132,WC-1974,M-1974-35,Netherlands vs Brazil,1974-07-03,second group stage,T-09,Brazil,CONMEBOL,P-89772,1,0,R-440,UEFA,1974
132,B-0133,WC-1974,M-1974-35,Netherlands vs Brazil,1974-07-03,second group stage,T-48,Netherlands,UEFA,P-89554,1,0,R-440,UEFA,1974
133,B-0134,WC-1974,M-1974-36,Sweden vs Yugoslavia,1974-07-03,second group stage,T-87,Yugoslavia,UEFA,P-20553,1,0,R-341,CONMEBOL,1974
134,B-0135,WC-1974,M-1974-36,Sweden vs Yugoslavia,1974-07-03,second group stage,T-87,Yugoslavia,UEFA,P-80725,1,0,R-341,CONMEBOL,1974
135,B-0136,WC-1974,M-1974-37,Brazil vs Poland,1974-07-06,third-place match,T-57,Poland,UEFA,P-97548,1,0,R-023,UEFA,1974
136,B-0137,WC-1974,M-1974-37,Brazil vs Poland,1974-07-06,third-place match,T-09,Brazil,CONMEBOL,P-77430,1,0,R-023,UEFA,1974
137,B-0138,WC-1974,M-1974-38,Netherlands vs West Germany,1974-07-07,final,T-86,West Germany,UEFA,P-69695,1,0,R-429,UEFA,1974
138,B-0139,WC-1974,M-1974-38,Netherlands vs West Germany,1974-07-07,final,T-48,Netherlands,UEFA,P-65100,1,0,R-429,UEFA,1974
139,B-0140,WC-1974,M-1974-38,Netherlands vs West Germany,1974-07-07,final,T-48,Netherlands,UEFA,P-16991,1,0,R-429,UEFA,1974
140,B-0141,WC-1974,M-1974-38,Netherlands vs West Germany,1974-07-07,final,T-48,Netherlands,UEFA,P-50564,1,0,R-429,UEFA,1974
141,B-0142,WC-1978,M-1978-02,Italy vs France,1978-06-02,group stage,T-41,Italy,UEFA,P-93788,1,0,R-360,UEFA,1978
142,B-0143,WC-1978,M-1978-02,Italy vs France,1978-06-02,group stage,T-30,France,UEFA,P-08939,1,0,R-360,UEFA,1978
143,B-0144,WC-1978,M-1978-02,Italy vs France,1978-06-02,group stage,T-30,France,UEFA,P-48925,1,0,R-360,UEFA,1978
144,B-0145,WC-1978,M-1978-04,Argentina vs Hungary,1978-06-02,group stage,T-36,Hungary,UEFA,P-34326,1,0,R-166,UEFA,1978
145,B-0146,WC-1978,M-1978-04,Argentina vs Hungary,1978-06-02,group stage,T-36,Hungary,UEFA,P-86777,1,0,R-166,UEFA,1978
146,B-0147,WC-1978,M-1978-04,Argentina vs Hungary,1978-06-02,group stage,T-03,Argentina,CONMEBOL,P-80376,1,0,R-166,UEFA,1978
147,B-0148,WC-1978,M-1978-04,Argentina vs Hungary,1978-06-02,group stage,T-36,Hungary,UEFA,P-86777,0,1,R-166,UEFA,1978
148,B-0149,WC-1978,M-1978-04,Argentina vs Hungary,1978-06-02,group stage,T-36,Hungary,UEFA,P-34326,0,1,R-166,UEFA,1978
149,B-0150,WC-1978,M-1978-06,Brazil vs Sweden,1978-06-03,group stage,T-74,Sweden,UEFA,P-03989,1,0,R-434,UEFA,1978
150,B-0151,WC-1978,M-1978-06,Brazil vs Sweden,1978-06-03,group stage,T-09,Brazil,CONMEBOL,P-69644,1,0,R-434,UEFA,1978
151,B-0152,WC-1978,M-1978-08,Peru vs Scotland,1978-06-03,group stage,T-56,Peru,CONMEBOL,P-72529,1,0,R-142,UEFA,1978
152,B-0153,WC-1978,M-1978-09,Italy vs Hungary,1978-06-06,group stage,T-36,Hungary,UEFA,P-12183,1,0,R-043,CONMEBOL,1978
153,B-0154,WC-1978,M-1978-09,Italy vs Hungary,1978-06-06,group stage,T-36,Hungary,UEFA,P-70353,1,0,R-043,CONMEBOL,1978
154,B-0155,WC-1978,M-1978-11,West Germany vs Mexico,1978-06-06,group stage,T-86,West Germany,UEFA,P-41102,1,0,R-064,AFC,1978
155,B-0156,WC-1978,M-1978-11,West Germany vs Mexico,1978-06-06,group stage,T-46,Mexico,CONCACAF,P-84173,1,0,R-064,AFC,1978
156,B-0157,WC-1978,M-1978-12,Argentina vs France,1978-06-06,group stage,T-30,France,UEFA,P-74565,1,0,R-131,UEFA,1978
157,B-0158,WC-1978,M-1978-14,Brazil vs Spain,1978-06-07,group stage,T-73,Spain,UEFA,P-15195,1,0,R-174,UEFA,1978
158,B-0159,WC-1978,M-1978-15,Netherlands vs Peru,1978-06-07,group stage,T-48,Netherlands,UEFA,P-25337,1,0,R-353,UEFA,1978
159,B-0160,WC-1978,M-1978-19,West Germany vs Tunisia,1978-06-10,group stage,T-79,Tunisia,CAF,P-12467,1,0,R-181,CONMEBOL,1978
160,B-0161,WC-1978,M-1978-19,West Germany vs Tunisia,1978-06-10,group stage,T-86,West Germany,UEFA,P-95747,1,0,R-181,CONMEBOL,1978
161,B-0162,WC-1978,M-1978-20,Argentina vs Italy,1978-06-10,group stage,T-41,Italy,UEFA,P-12030,1,0,R-223,UEFA,1978
162,B-0163,WC-1978,M-1978-22,Spain vs Sweden,1978-06-11,group stage,T-74,Sweden,UEFA,P-59590,1,0,R-057,UEFA,1978
163,B-0164,WC-1978,M-1978-24,Scotland vs Netherlands,1978-06-11,group stage,T-64,Scotland,UEFA,P-16479,1,0,R-247,UEFA,1978
164,B-0165,WC-1978,M-1978-28,Argentina vs Poland,1978-06-14,second group stage,T-57,Poland,UEFA,P-56499,1,0,R-142,UEFA,1978
165,B-0166,WC-1978,M-1978-28,Argentina vs Poland,1978-06-14,second group stage,T-03,Argentina,CONMEBOL,P-99593,1,0,R-142,UEFA,1978
166,B-0167,WC-1978,M-1978-29,Peru vs Poland,1978-06-18,second group stage,T-56,Peru,CONMEBOL,P-32373,1,0,R-336,UEFA,1978
167,B-0168,WC-1978,M-1978-29,Peru vs Poland,1978-06-18,second group stage,T-57,Poland,UEFA,P-95634,1,0,R-336,UEFA,1978
168,B-0169,WC-1978,M-1978-29,Peru vs Poland,1978-06-18,second group stage,T-57,Poland,UEFA,P-03652,1,0,R-336,UEFA,1978
169,B-0170,WC-1978,M-1978-29,Peru vs Poland,1978-06-18,second group stage,T-56,Peru,CONMEBOL,P-07978,1,0,R-336,UEFA,1978
170,B-0171,WC-1978,M-1978-31,Netherlands vs West Germany,1978-06-18,second group stage,T-48,Netherlands,UEFA,P-48712,1,0,R-043,CONMEBOL,1978
171,B-0172,WC-1978,M-1978-31,Netherlands vs West Germany,1978-06-18,second group stage,T-86,West Germany,UEFA,P-14080,1,0,R-043,CONMEBOL,1978
172,B-0173,WC-1978,M-1978-31,Netherlands vs West Germany,1978-06-18,second group stage,T-48,Netherlands,UEFA,P-48111,0,1,R-043,CONMEBOL,1978
173,B-0174,WC-1978,M-1978-33,Austria vs West Germany,1978-06-21,second group stage,T-05,Austria,UEFA,P-03451,1,0,R-223,UEFA,1978
